Year,economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2020,road passenger transport,,,,<u>additional time series:</u> full-time equivalents,96528.0
2021,road passenger transport,,,,<u>additional time series:</u> full-time equivalents,129574.0
2022,road passenger transport,,,,<u>additional time series:</u> full-time equivalents,126403.0
2023,road passenger transport,,,,<u>additional time series:</u> full-time equivalents,128524.0
2010,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2011,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2012,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2013,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2014,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2015,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2016,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2017,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2018,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2019,water passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2020,water passenger transport,,,,<u>additional time series:</u> full-time equivalents,6722.0
2021,water passenger transport,,,,<u>additional time series:</u> full-time equivalents,7346.0
2022,water passenger transport,,,,<u>additional time series:</u> full-time equivalents,7746.0
2023,water passenger transport,,,,<u>additional time series:</u> full-time equivalents,7414.0
2010,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2011,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2012,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2013,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2014,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2015,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2016,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2017,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2018,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2019,air passenger transport,.,,,<u>additional time series:</u> full-time equivalents,
2020,air passenger transport,,,,<u>additional time series:</u> full-time equivalents,45264.0
2021,air passenger transport,,,,<u>additional time series:</u> full-time equivalents,45513.0
2022,air passenger transport,,,,<u>additional time series:</u> full-time equivalents,44077.0
2023,air passenger transport,,,,<u>additional time series:</u> full-time equivalents,47678.0
2010,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2011,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2012,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2013,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2014,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2015,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2016,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
2017,transport equipment rental,.,,,<u>additional time series:</u> full-time equivalents,
