Year,Units,type of harassment,age group,sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2023,number,sexual harassment,14 to under 18 years,,,,,1208.0
2024,number,sexual harassment,14 to under 18 years,,,,,1367.0
2025,number,sexual harassment,14 to under 18 years,,,,,1363.0
2010,number,sexual harassment,14 to under 18 years,female,,,,1112.0
2011,number,sexual harassment,14 to under 18 years,female,,,,1217.0
2012,number,sexual harassment,14 to under 18 years,female,,,,1221.0
2013,number,sexual harassment,14 to under 18 years,female,,,,1235.0
2014,number,sexual harassment,14 to under 18 years,female,,,,1228.0
2015,number,sexual harassment,14 to under 18 years,female,,,,1151.0
2016,number,sexual harassment,14 to under 18 years,female,,,,1024.0
2017,number,sexual harassment,14 to under 18 years,female,,,,955.0
2018,number,sexual harassment,14 to under 18 years,female,,,,958.0
2019,number,sexual harassment,14 to under 18 years,female,,,,811.0
2020,number,sexual harassment,14 to under 18 years,female,,,,928.0
2021,number,sexual harassment,14 to under 18 years,female,|,,,936.0
2022,number,sexual harassment,14 to under 18 years,female,,,,1076.0
2023,number,sexual harassment,14 to under 18 years,female,,,,1022.0
2024,number,sexual harassment,14 to under 18 years,female,,,,1152.0
2025,number,sexual harassment,14 to under 18 years,female,,,,1129.0
2010,number,sexual harassment,14 to under 18 years,male,,,,155.0
2011,number,sexual harassment,14 to under 18 years,male,,,,145.0
2012,number,sexual harassment,14 to under 18 years,male,,,,135.0
2013,number,sexual harassment,14 to under 18 years,male,,,,149.0
2014,number,sexual harassment,14 to under 18 years,male,,,,140.0
2015,number,sexual harassment,14 to under 18 years,male,,,,94.0
2016,number,sexual harassment,14 to under 18 years,male,,,,125.0
2017,number,sexual harassment,14 to under 18 years,male,,,,149.0
2018,number,sexual harassment,14 to under 18 years,male,,,,152.0
2019,number,sexual harassment,14 to under 18 years,male,,,,120.0
2020,number,sexual harassment,14 to under 18 years,male,,,,139.0
2021,number,sexual harassment,14 to under 18 years,male,|,,,134.0
2022,number,sexual harassment,14 to under 18 years,male,,,,167.0
2023,number,sexual harassment,14 to under 18 years,male,,,,186.0
2024,number,sexual harassment,14 to under 18 years,male,,,,215.0
2025,number,sexual harassment,14 to under 18 years,male,,,,234.0
2010,number,sexual harassment,18 to under 21 years,,,,,796.0
2011,number,sexual harassment,18 to under 21 years,,,,,811.0
2012,number,sexual harassment,18 to under 21 years,,,,,808.0
2013,number,sexual harassment,18 to under 21 years,,,,,752.0
2014,number,sexual harassment,18 to under 21 years,,,,,809.0
2015,number,sexual harassment,18 to under 21 years,,,,,803.0
2016,number,sexual harassment,18 to under 21 years,,,,,776.0
2017,number,sexual harassment,18 to under 21 years,,,,,931.0
2018,number,sexual harassment,18 to under 21 years,,,,,878.0
2019,number,sexual harassment,18 to under 21 years,,,,,725.0
2020,number,sexual harassment,18 to under 21 years,,,,,969.0
2021,number,sexual harassment,18 to under 21 years,,|,,,883.0
2022,number,sexual harassment,18 to under 21 years,,,,,925.0
2023,number,sexual harassment,18 to under 21 years,,,,,934.0
2024,number,sexual harassment,18 to under 21 years,,,,,1040.0
