Year,Aktivitäten,Altersklasse,Value
2012,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
2013,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
2014,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
2015,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,35.0
2016,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,34.0
2017,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,36.0
2018,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,
2019,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",16 bis unter 25 Jahre,34.0
2010,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,
2011,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,76.0
2012,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,71.0
2013,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,
2014,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,80.0
2015,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,72.0
2016,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,72.0
2017,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,73.0
2018,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,
2019,Kopieren oder Verschieben von Dateien und Ordnern,25 bis unter 65 Jahre,75.0
2010,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",25 bis unter 65 Jahre,
