Year,Economic activity,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,Air passenger transport,,,,<u>Additional time series:</u> Full-time equivalents,47678.0
2010,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2019,Transport equipment rental,.,,,<u>Additional time series:</u> Full-time equivalents,
2020,Transport equipment rental,,,,<u>Additional time series:</u> Full-time equivalents,24773.0
2021,Transport equipment rental,,,,<u>Additional time series:</u> Full-time equivalents,29873.0
2022,Transport equipment rental,,,,<u>Additional time series:</u> Full-time equivalents,33751.0
2023,Transport equipment rental,,,,<u>Additional time series:</u> Full-time equivalents,31106.0
2010,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2011,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2012,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2013,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2014,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2015,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2016,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2017,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
2018,Travel agencies and other reservation service activities,.,,,<u>Additional time series:</u> Full-time equivalents,
