Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2011,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.128
2012,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,|,,,0.12
2013,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.106
2014,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.051
2015,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.061
2016,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.119
2017,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.155
2018,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.038
2019,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.047
2020,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.122
2021,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.009
2022,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.065
2023,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,|,,,0.009
2024,Je 100 000 Einwohner/-innen,,13 Jahre und jünger,Sexuelle Ausbeutung,,,,0.037
2010,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.439
2011,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.403
2012,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,|,,,2.744
2013,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.905
2014,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.615
2015,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.212
2016,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.617
2017,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.448
2018,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.055
2019,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.831
2020,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,2.18
2021,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.766
2022,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.627
2023,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,|,,,2.091
2024,Je 100 000 Einwohner/-innen,,14 bis unter 18 Jahre,Sexuelle Ausbeutung,,,,1.42
2010,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,8.967
2011,Je 100 000 Einwohner/-innen,,18 bis unter 21 Jahre,Sexuelle Ausbeutung,,,,9.825
