Year,Units,Geschlecht,Altersklasse,Form der Ausbeutung,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2014,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.121
2015,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.138
2016,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.126
2017,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.388
2018,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.166
2019,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.112
2020,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.19
2021,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.236
2022,Je 100 000 Einwohner/-innen,Männlich,,,,,,1.858
2023,Je 100 000 Einwohner/-innen,Männlich,,,|,,,0.342
2024,Je 100 000 Einwohner/-innen,Männlich,,,,,,0.381
2010,Anzahl,,,,,,,651.0
2011,Anzahl,,,,,,,671.0
2012,Anzahl,,,,,,,626.0
2013,Anzahl,,,,,,,603.0
2014,Anzahl,,,,,,,583.0
2015,Anzahl,,,,,,,470.0
2016,Anzahl,,,,,,,536.0
2017,Anzahl,,,,,,,669.0
2018,Anzahl,,,,,,,493.0
2019,Anzahl,,,,,,,470.0
2020,Anzahl,,,,,,,479.0
2021,Anzahl,,,,,,,564.0
2022,Anzahl,,,,,,,1495.0
2023,Anzahl,,,,r,,,611.0
2024,Anzahl,,,,,,,636.0
2010,Anzahl,,,Arbeitsausbeutung,,,,41.0
2011,Anzahl,,,Arbeitsausbeutung,,,,32.0
2012,Anzahl,,,Arbeitsausbeutung,,,,14.0
2013,Anzahl,,,Arbeitsausbeutung,,,,61.0
2014,Anzahl,,,Arbeitsausbeutung,,,,26.0
2015,Anzahl,,,Arbeitsausbeutung,,,,54.0
2016,Anzahl,,,Arbeitsausbeutung,,,,48.0
2017,Anzahl,,,Arbeitsausbeutung,,,,180.0
2018,Anzahl,,,Arbeitsausbeutung,,,,63.0
2019,Anzahl,,,Arbeitsausbeutung,,,,43.0
2020,Anzahl,,,Arbeitsausbeutung,,,,73.0
2021,Anzahl,,,Arbeitsausbeutung,,,,147.0
2022,Anzahl,,,Arbeitsausbeutung,,,,1019.0
2023,Anzahl,,,Arbeitsausbeutung,,,,183.0
2024,Anzahl,,,Arbeitsausbeutung,,,,171.0
2010,Anzahl,Weiblich,,Arbeitsausbeutung,,,,10.0
2011,Anzahl,Weiblich,,Arbeitsausbeutung,,,,24.0
2012,Anzahl,Weiblich,,Arbeitsausbeutung,,,,7.0
2013,Anzahl,Weiblich,,Arbeitsausbeutung,,,,13.0
2014,Anzahl,Weiblich,,Arbeitsausbeutung,,,,4.0
2015,Anzahl,Weiblich,,Arbeitsausbeutung,,,,8.0
2016,Anzahl,Weiblich,,Arbeitsausbeutung,,,,13.0
2017,Anzahl,Weiblich,,Arbeitsausbeutung,,,,25.0
2018,Anzahl,Weiblich,,Arbeitsausbeutung,,,,8.0
2019,Anzahl,Weiblich,,Arbeitsausbeutung,,,,19.0
2020,Anzahl,Weiblich,,Arbeitsausbeutung,,,,18.0
2021,Anzahl,Weiblich,,Arbeitsausbeutung,,,,72.0
2022,Anzahl,Weiblich,,Arbeitsausbeutung,,,,266.0
2023,Anzahl,Weiblich,,Arbeitsausbeutung,,,,53.0
2024,Anzahl,Weiblich,,Arbeitsausbeutung,,,,25.0
2010,Anzahl,Männlich,,Arbeitsausbeutung,,,,31.0
2011,Anzahl,Männlich,,Arbeitsausbeutung,,,,8.0
2012,Anzahl,Männlich,,Arbeitsausbeutung,,,,5.0
2013,Anzahl,Männlich,,Arbeitsausbeutung,,,,47.0
2014,Anzahl,Männlich,,Arbeitsausbeutung,,,,22.0
2015,Anzahl,Männlich,,Arbeitsausbeutung,,,,44.0
2016,Anzahl,Männlich,,Arbeitsausbeutung,,,,34.0
2017,Anzahl,Männlich,,Arbeitsausbeutung,,,,154.0
2018,Anzahl,Männlich,,Arbeitsausbeutung,,,,54.0
2019,Anzahl,Männlich,,Arbeitsausbeutung,,,,24.0
2020,Anzahl,Männlich,,Arbeitsausbeutung,,,,55.0
2021,Anzahl,Männlich,,Arbeitsausbeutung,,,,74.0
2022,Anzahl,Männlich,,Arbeitsausbeutung,,,,747.0
